Stage alignment:[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11]].
Total Constraints within Device:69336, Redundant Constraints:1296.
Gurobi Solver Solving...
Result Found Cost: 575.00.
MinExeTime:1682.0.
w_27_4,1628.0.
f_28_4,806.0.
b_28_4,1366.0.
w_28_4,1634.0.
f_29_4,868.0.
b_29_4,1398.0.
w_29_4,1640.0.
f_30_4,886.0.
b_30_4,1424.0.
w_30_4,1646.0.
f_31_4,970.0.
b_31_4,1456.0.
w_31_4,1652.0.
f_32_4,988.0.
b_32_4,1476.0.
w_32_4,1658.0.
f_33_4,1026.0.
b_33_4,1508.0.
w_33_4,1664.0.
f_34_4,1064.0.
b_34_4,1540.0.
w_34_4,1670.0.
f_35_4,1102.0.
b_35_4,1566.0.
w_35_4,1676.0.
f_0_5,65.0.
b_0_5,305.0.
w_0_5,433.0.
f_1_5,77.0.
b_1_5,451.0.
w_1_5,535.0.
f_2_5,89.0.
b_2_5,495.0.
w_2_5,595.0.
f_3_5,101.0.
b_3_5,515.0.
w_3_5,697.0.
f_4_5,113.0.
b_4_5,541.0.
w_4_5,821.0.
f_5_5,125.0.
b_5_5,601.0.
w_5_5,859.0.
f_6_5,137.0.
b_6_5,633.0.
w_6_5,923.0.
f_7_5,149.0.
b_7_5,663.0.
w_7_5,981.0.
f_8_5,161.0.
b_8_5,703.0.
w_8_5,999.0.
f_9_5,173.0.
b_9_5,723.0.
w_9_5,1017.0.
f_10_5,185.0.
b_10_5,765.0.
w_10_5,1055.0.
f_11_5,197.0.
b_11_5,789.0.
w_11_5,1113.0.
f_12_5,209.0.
b_12_5,827.0.
w_12_5,1139.0.
f_13_5,221.0.
b_13_5,871.0.
w_13_5,1229.0.
f_14_5,233.0.
b_14_5,891.0.
w_14_5,1275.0.
f_15_5,245.0.
b_15_5,929.0.
w_15_5,1281.0.
f_16_5,257.0.
b_16_5,961.0.
w_16_5,1339.0.
f_17_5,269.0.
b_17_5,1023.0.
w_17_5,1397.0.
f_18_5,281.0.
b_18_5,1061.0.
w_18_5,1423.0.
f_19_5,293.0.
b_19_5,1093.0.
w_19_5,1535.0.
f_20_5,415.0.
b_20_5,1119.0.
w_20_5,1541.0.
f_21_5,439.0.
b_21_5,1145.0.
w_21_5,1547.0.
f_22_5,471.0.
b_22_5,1183.0.
w_22_5,1553.0.
f_23_5,483.0.
b_23_5,1203.0.
w_23_5,1559.0.
f_24_5,621.0.
b_24_5,1235.0.
w_24_5,1565.0.
f_25_5,685.0.
b_25_5,1255.0.
w_25_5,1571.0.
f_26_5,743.0.
b_26_5,1287.0.
w_26_5,1577.0.
f_27_5,809.0.
b_27_5,1319.0.
w_27_5,1583.0.
f_28_5,847.0.
b_28_5,1345.0.
w_28_5,1589.0.
f_29_5,911.0.
b_29_5,1377.0.
w_29_5,1595.0.
f_30_5,949.0.
b_30_5,1403.0.
w_30_5,1601.0.
f_31_5,987.0.
b_31_5,1435.0.
w_31_5,1607.0.
f_32_5,1005.0.
b_32_5,1455.0.
w_32_5,1613.0.
f_33_5,1043.0.
b_33_5,1475.0.
w_33_5,1619.0.
f_34_5,1081.0.
b_34_5,1495.0.
w_34_5,1625.0.
f_35_5,1171.0.
b_35_5,1515.0.
w_35_5,1676.0.
f_0_6,78.0.
b_0_6,282.0.
w_0_6,302.0.
f_1_6,90.0.
b_1_6,376.0.
w_1_6,446.0.
f_2_6,102.0.
b_2_6,408.0.
w_2_6,574.0.
f_3_6,114.0.
b_3_6,452.0.
w_3_6,826.0.
f_4_6,126.0.
b_4_6,520.0.
w_4_6,832.0.
f_5_6,138.0.
b_5_6,580.0.
w_5_6,902.0.
f_6_6,150.0.
b_6_6,612.0.
w_6_6,948.0.
f_7_6,162.0.
b_7_6,642.0.
w_7_6,998.0.
f_8_6,174.0.
b_8_6,682.0.
w_8_6,1016.0.
f_9_6,186.0.
b_9_6,702.0.
w_9_6,1054.0.
f_10_6,198.0.
b_10_6,736.0.
w_10_6,1112.0.
f_11_6,210.0.
b_11_6,768.0.
w_11_6,1150.0.
f_12_6,222.0.
b_12_6,806.0.
w_12_6,1208.0.
f_13_6,234.0.
b_13_6,850.0.
w_13_6,1376.0.
f_14_6,246.0.
b_14_6,870.0.
w_14_6,1514.0.
f_15_6,258.0.
b_15_6,908.0.
w_15_6,1520.0.
f_16_6,270.0.
b_16_6,928.0.
w_16_6,1526.0.
f_17_6,308.0.
b_17_6,966.0.
w_17_6,1532.0.
f_18_6,364.0.
b_18_6,1022.0.
w_18_6,1538.0.
f_19_6,396.0.
b_19_6,1060.0.
w_19_6,1544.0.
f_20_6,428.0.
b_20_6,1092.0.
w_20_6,1550.0.
f_21_6,472.0.
b_21_6,1118.0.
w_21_6,1556.0.
f_22_6,484.0.
b_22_6,1156.0.
w_22_6,1562.0.
f_23_6,496.0.
b_23_6,1176.0.
w_23_6,1568.0.
f_24_6,670.0.
b_24_6,1214.0.
w_24_6,1574.0.
f_25_6,724.0.
b_25_6,1234.0.
w_25_6,1580.0.
f_26_6,756.0.
b_26_6,1266.0.
w_26_6,1586.0.
f_27_6,838.0.
b_27_6,1298.0.
w_27_6,1592.0.
f_28_6,890.0.
b_28_6,1324.0.
w_28_6,1598.0.
f_29_6,954.0.
b_29_6,1356.0.
w_29_6,1604.0.
f_30_6,986.0.
b_30_6,1382.0.
w_30_6,1610.0.
f_31_6,1004.0.
b_31_6,1402.0.
w_31_6,1616.0.
f_32_6,1042.0.
b_32_6,1434.0.
w_32_6,1622.0.
f_33_6,1080.0.
b_33_6,1454.0.
w_33_6,1628.0.
f_34_6,1138.0.
b_34_6,1474.0.
w_34_6,1634.0.
f_35_6,1196.0.
b_35_6,1494.0.
w_35_6,1676.0.
f_0_7,91.0.
b_0_7,259.0.
w_0_7,291.0.
f_1_7,103.0.
b_1_7,331.0.
w_1_7,475.0.
f_2_7,115.0.
b_2_7,387.0.
w_2_7,523.0.
f_3_7,127.0.
b_3_7,431.0.
w_3_7,639.0.
f_4_7,139.0.
b_4_7,481.0.
w_4_7,645.0.
f_5_7,151.0.
b_5_7,541.0.
w_5_7,651.0.
f_6_7,163.0.
b_6_7,591.0.
w_6_7,709.0.
f_7_7,175.0.
b_7_7,619.0.
w_7_7,869.0.
f_8_7,187.0.
b_8_7,657.0.
w_8_7,985.0.
f_9_7,199.0.
b_9_7,677.0.
w_9_7,1035.0.
f_10_7,211.0.
b_10_7,715.0.
w_10_7,1143.0.
f_11_7,223.0.
b_11_7,747.0.
w_11_7,1189.0.
f_12_7,235.0.
b_12_7,779.0.
w_12_7,1239.0.
f_13_7,247.0.
b_13_7,829.0.
w_13_7,1265.0.
f_14_7,279.0.
b_14_7,849.0.
w_14_7,1271.0.
f_15_7,297.0.
b_15_7,875.0.
w_15_7,1297.0.
f_16_7,375.0.
b_16_7,895.0.
w_16_7,1355.0.
f_17_7,407.0.
b_17_7,933.0.
w_17_7,1401.0.
f_18_7,419.0.
b_18_7,953.0.
w_18_7,1407.0.
f_19_7,451.0.
b_19_7,1003.0.
w_19_7,1493.0.
f_20_7,463.0.
b_20_7,1041.0.
w_20_7,1499.0.
f_21_7,511.0.
b_21_7,1091.0.
w_21_7,1505.0.
f_22_7,529.0.
b_22_7,1111.0.
w_22_7,1511.0.
f_23_7,579.0.
b_23_7,1149.0.
w_23_7,1517.0.
f_24_7,697.0.
b_24_7,1169.0.
w_24_7,1523.0.
f_25_7,767.0.
b_25_7,1207.0.
w_25_7,1529.0.
f_26_7,799.0.
b_26_7,1245.0.
w_26_7,1535.0.
f_27_7,921.0.
b_27_7,1277.0.
w_27_7,1541.0.
f_28_7,973.0.
b_28_7,1303.0.
w_28_7,1547.0.
f_29_7,991.0.
b_29_7,1335.0.
w_29_7,1553.0.
f_30_7,1023.0.
b_30_7,1361.0.
w_30_7,1559.0.
f_31_7,1067.0.
b_31_7,1381.0.
w_31_7,1565.0.
f_32_7,1079.0.
b_32_7,1413.0.
w_32_7,1571.0.
f_33_7,1131.0.
b_33_7,1433.0.
w_33_7,1577.0.
f_34_7,1195.0.
b_34_7,1453.0.
w_34_7,1670.0.
f_35_7,1227.0.
b_35_7,1473.0.
w_35_7,1676.0.
f_0_8,104.0.
b_0_8,236.0.
w_0_8,268.0.
f_1_8,116.0.
b_1_8,310.0.
w_1_8,430.0.
f_2_8,128.0.
b_2_8,366.0.
w_2_8,496.0.
f_3_8,140.0.
b_3_8,398.0.
w_3_8,514.0.
f_4_8,152.0.
b_4_8,448.0.
w_4_8,650.0.
f_5_8,164.0.
b_5_8,520.0.
w_5_8,688.0.
f_6_8,176.0.
b_6_8,566.0.
w_6_8,778.0.
f_7_8,188.0.
b_7_8,598.0.
w_7_8,848.0.
f_8_8,200.0.
b_8_8,618.0.
w_8_8,1034.0.
f_9_8,212.0.
b_9_8,656.0.
w_9_8,1072.0.
f_10_8,224.0.
b_10_8,694.0.
w_10_8,1122.0.
f_11_8,256.0.
b_11_8,726.0.
w_11_8,1172.0.
f_12_8,274.0.
b_12_8,758.0.
w_12_8,1276.0.
f_13_8,330.0.
b_13_8,808.0.
w_13_8,1302.0.
f_14_8,342.0.
b_14_8,828.0.
w_14_8,1308.0.
f_15_8,354.0.
b_15_8,854.0.
w_15_8,1334.0.
f_16_8,418.0.
b_16_8,874.0.
w_16_8,1380.0.
f_17_8,436.0.
b_17_8,912.0.
w_17_8,1406.0.
f_18_8,468.0.
b_18_8,932.0.
w_18_8,1472.0.
f_19_8,502.0.
b_19_8,964.0.
w_19_8,1478.0.
f_20_8,540.0.
b_20_8,990.0.
w_20_8,1484.0.
f_21_8,552.0.
b_21_8,1052.0.
w_21_8,1490.0.
f_22_8,586.0.
b_22_8,1078.0.
w_22_8,1496.0.
f_23_8,638.0.
b_23_8,1128.0.
w_23_8,1502.0.
f_24_8,784.0.
b_24_8,1148.0.
w_24_8,1508.0.
f_25_8,796.0.
b_25_8,1178.0.
w_25_8,1514.0.
f_26_8,900.0.
b_26_8,1210.0.
w_26_8,1520.0.
f_27_8,952.0.
b_27_8,1244.0.
w_27_8,1526.0.
f_28_8,1010.0.
b_28_8,1282.0.
w_28_8,1532.0.
f_29_8,1022.0.
b_29_8,1314.0.
w_29_8,1538.0.
f_30_8,1040.0.
b_30_8,1340.0.
w_30_8,1544.0.
f_31_8,1098.0.
b_31_8,1360.0.
w_31_8,1550.0.
f_32_8,1110.0.
b_32_8,1386.0.
w_32_8,1556.0.
f_33_8,1198.0.
b_33_8,1412.0.
w_33_8,1562.0.
f_34_8,1230.0.
b_34_8,1432.0.
w_34_8,1568.0.
f_35_8,1264.0.
b_35_8,1452.0.
w_35_8,1676.0.
f_0_9,117.0.
b_0_9,211.0.
w_0_9,283.0.
f_1_9,129.0.
b_1_9,289.0.
w_1_9,397.0.
f_2_9,141.0.
b_2_9,321.0.
w_2_9,457.0.
f_3_9,153.0.
b_3_9,377.0.
w_3_9,617.0.
f_4_9,165.0.
b_4_9,427.0.
w_4_9,763.0.
f_5_9,177.0.
b_5_9,487.0.
w_5_9,769.0.
f_6_9,189.0.
b_6_9,507.0.
w_6_9,775.0.
f_7_9,231.0.
b_7_9,565.0.
w_7_9,821.0.
f_8_9,243.0.
b_8_9,585.0.
w_8_9,951.0.
